transactions_old,transactions_new,city,lat,lon
2.658           ,2.370            ,New York City,40.71455 ,-74.007124
2.370           ,1.944            ,Los Angeles  ,34.0522  ,-118.2437
1.944           ,9.996            ,Chicago      ,41.8781  ,-87.6298
9.996           ,6.6116           ,Houston      ,29.7604  ,-95.3698
6.6116          ,4.659            ,Philadelphia ,39.9526  ,-75.1652
4.659           ,3.854            ,Phoenix      ,33.4484  ,-112.0740
3.854           ,2.926            ,San Antonio  ,29.4241  ,-98.4936
2.926           ,2.8242           ,San Diego    ,32.7157  ,-117.1611
2.8242          ,2.638            ,Dallas       ,32.7767  ,-96.7970
2.638           ,2.658            ,San Jose     ,37.3382  ,-121.8863
