order_number,product_id,customer_id,product_name,department_id,price,city
8724,37067,63946,Organic Banana,4,10.85,NewYork
9604,37067,111612,Organic Banana,4,10.85,NewYork
7715,4924,162584,Homestyle Baked Beans,15,0.99,NewYork
7388,24830,203412,Organic Romaine,4,10.27,NewYork
17947,17352,100514,100% Whole Wheat English Muffin 6 Ct,3,9.91,NewYork
16915,21278,64589,All Purpose Crushed Tomatoes,15,1.47,NewYork
5847,35939,108069,Organic Jalapeno Pepper,4,9.93,NewYork
893,44570,185084,Kale Greens,4,4.15,NewYork
3393,19003,163442,Celery,4,5.68,NewYork
15093,13733,184091,Red Potatoes,4,4.73,NewYork
12371,6749,24065,Clasico Dark Roasted Sticks,7,1.86,NewYork
2173,39408,100116,Gala Apples,4,4.03,NewYork
18802,46802,65350,Pineapple Chunks,1,6.76,NewYork
6089,890,161968,Organic Diced Tomatoes,15,1.35,NewYork
10769,22627,82204,Gluten Free Flour,13,7.99,NewYork
9483,9955,105422,Unsweetened Organic Coconut Milk,16,6.48,NewYork
12893,890,129081,Organic Diced Tomatoes,15,1.35,NewYork
17008,25542,95861,"Orzo, No. 65",9,0.92,NewYork
1730,12427,86219,Original Beef Jerky,19,3.08,NewYork
7087,33624,167193,Splash Tropical Blend Juice,7,10.7,NewYork
248,38508,30576,Lightly Salted Kettle Potato Chips - Sea Salt,19,4.06,NewYork
13513,36116,95118,Pimento Cheese Dip,16,3.06,NewYork
2524,19173,15332,Orange Calcium & Vitamin D Pulp Free,7,11.11,NewYork
9091,35939,180351,Organic Jalapeno Pepper,4,9.93,NewYork
13918,40826,82204,Manhattan Style Whole Kosher Pickles,13,1.78,NewYork
15166,45007,137710,Organic Zucchini,4,5.08,NewYork
4669,12572,23244,6 OZ LA PANZANELLA CROSTINI ORIGINAL CRACKERS,19,1.78,NewYork
2629,35613,189109,Original Thin Supreme Pizza,1,7.93,NewYork
17895,7893,163244,Gluten-Free Lemon Wafers,19,4.11,NewYork
15879,26209,18464,Limes,4,4.37,NewYork
18398,26209,162940,Limes,4,4.37,NewYork
1498,890,27801,Organic Diced Tomatoes,15,1.35,NewYork
8820,36086,117967,Philadelphia Original Cream Cheese,16,2.08,NewYork
3387,4478,175450,Chocolate Fudge Brownie Frozen Yogurt,1,8.48,NewYork
6491,22124,167957,Total 0% Raspberry Yogurt,16,9.08,NewYork
10572,45007,1615,Organic Zucchini,4,5.08,NewYork
11773,34969,94588,Red Vine Tomato,4,9.25,NewYork
3846,45815,100321,Organic Florets Broccoli,1,12.12,NewYork
