transactions_old,transactions_new,city,lat,lon
2.638           ,2.658            ,New York City,40.71455 ,-74.007124
2.658           ,2.370            ,Los Angeles  ,34.0522  ,-118.2437
2.370           ,1.944            ,Chicago      ,41.8781  ,-87.6298
1.944           ,9.996            ,Houston      ,29.7604  ,-95.3698
9.996           ,6.6116           ,Philadelphia ,39.9526  ,-75.1652
6.6116          ,4.659            ,Phoenix      ,33.4484  ,-112.0740
4.659           ,3.854            ,San Antonio  ,29.4241  ,-98.4936
3.854           ,2.926            ,San Diego    ,32.7157  ,-117.1611
2.926           ,2.8242           ,Dallas       ,32.7767  ,-96.7970
2.8242          ,2.638            ,San Jose     ,37.3382  ,-121.8863
